Puesto,Sueldo_Bruto,Ubicación,Modalidad_Trabajo,Rol,Nivel,Fuente,URL,Fecha_Captura,Sueldo_Aprox_Mercado,Sueldo_Final,Tipo_Dato
Programa Step Up! Beca Datos,,No especificada,Híbrido/Presencial,IT Generalist,Senior,Tecnoempleo,https://www.tecnoempleo.com/programa-step-up-beca-datos-aegon-nv/data/rf-c72718c6d28c939f1442,2026-01-20,56500.0,56500.0,Estimado
BI Consultant/Engineer,,No especificada,No especificado,Data Engineer,Senior,Tecnoempleo,https://www.tecnoempleo.com/bi-consultant-engineer-plexus/bi-data/rf-a1e71b2cc245b3135345,2026-01-20,75000.0,75000.0,Estimado
Arquitecto/a Técnico,,No especificada,Híbrido/Presencial,IT Generalist,Senior,Tecnoempleo,https://www.tecnoempleo.com/arquitecto-tecnico-remoto/kafka-microservicios-microfrontends-big-data/rf-c5871f8d420113dea446,2026-01-20,56500.0,56500.0,Estimado
IT Business developer,,No especificada,Remoto,IT Generalist,Senior,Tecnoempleo,https://www.tecnoempleo.com/it-business-developer-hibrido/ciberseguridad-big-data-inteligencia-artific/rf-bef316c2424073210d4b,2026-01-20,56500.0,56500.0,Estimado
Data Specialist,,No especificada,Híbrido/Presencial,IT Generalist,Senior,Tecnoempleo,https://www.tecnoempleo.com/data-specialist-randstad-es/power-bi-tableau/rf-87bb1468a2f233b3d847,2026-01-20,56500.0,56500.0,Estimado
Ingeniero Junior Big Data,,No especificada,Híbrido/Presencial,Data Engineer,Senior,Tecnoempleo,https://www.tecnoempleo.com/ingeniero-junior-big-data-accenture/python-sql/rf-7540147962c1f3ee7342,2026-01-20,75000.0,75000.0,Estimado
Senior Data Engineer / Tech Lead_Python,,No especificada,Remoto,Data Engineer,Senior,Tecnoempleo,https://www.tecnoempleo.com/senior-data-engineer-tech-lead-python-arelance/pyspark-sql/rf-ed0a1e7482adc31ef342,2026-01-20,75000.0,75000.0,Estimado
Data Analyst,,No especificada,No especificado,Data Analyst,Senior,Tecnoempleo,https://www.tecnoempleo.com/data-analyst-social-you/sql-python-excel-power-bi-etl-erp-tableau-power-bi/rf-bcdf1ef4f284336b8641,2026-01-20,58500.0,58500.0,Estimado
Data Engineer/Talend & PySpark,,No especificada,Remoto,Data Engineer,Senior,Tecnoempleo,https://www.tecnoempleo.com/data-engineer-talend-pyspark-cas-training/etl/rf-9538175562d2133cf643,2026-01-20,75000.0,75000.0,Estimado
"Network Technician, Data Center",,No especificada,No especificado,IT Generalist,Mid,Tecnoempleo,https://www.tecnoempleo.com/network-technician-data-center-amazon/aws/rf-eb961a37f2fd8315c045,2026-01-20,35500.0,35500.0,Estimado
Data & AI Engineer Intern,,No especificada,No especificado,Data Engineer,Mid,Tecnoempleo,https://www.tecnoempleo.com/data-ai-engineer-intern-astrazeneca/python/rf-6f701bb002dec3122d44,2026-01-20,51500.0,51500.0,Estimado
